scenario_id,unit_id,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,11,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,447.1024,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.005-q0.750,p0.005-q0.750-s5101,5101,eligible_dimension_first,0,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,296.9864,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,partial_aggregate_first,0,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,202.2283,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,governed_fact_first,0,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,206.1087,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,governed_fact_first,1,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,225.2117,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,partial_aggregate_first,1,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,247.8782,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,eligible_dimension_first,1,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,345.4521,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,partial_aggregate_first,2,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,264.5445,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,governed_fact_first,2,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,202.5259,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,eligible_dimension_first,2,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,266.8463,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
p0.005-q0.750,p0.005-q0.750-s5101,5101,partial_aggregate_first,3,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,200.9242,0dedfd9e4f76f578d73138f7ea9697d5b7fd7c1278e6a077d37f9f02ba2e7fd3
