block_index,block_id,permutation_id,order_position,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,result_digest
21,tpch-q6-block-021,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,materialize-after-q06-time,2026-07-19T13:23:32.205863+00:00,609.4865,2359.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
21,tpch-q6-block-021,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,fused,2026-07-19T13:23:32.815162+00:00,207.9789,765.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
22,tpch-q6-block-022,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,fused,2026-07-19T13:23:33.025667+00:00,188.3644,703.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
22,tpch-q6-block-022,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,materialize-after-q06-predicate,2026-07-19T13:23:33.213668+00:00,185.5576,703.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
22,tpch-q6-block-022,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:33.398932+00:00,640.0053,2421.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
23,tpch-q6-block-023,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,materialize-after-q06-time,2026-07-19T13:23:34.042185+00:00,640.0622,2421.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
23,tpch-q6-block-023,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,fused,2026-07-19T13:23:34.682189+00:00,213.9984,781.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
23,tpch-q6-block-023,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:34.896189+00:00,223.3967,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
24,tpch-q6-block-024,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,materialize-after-q06-time,2026-07-19T13:23:35.122189+00:00,733.9788,2656.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
24,tpch-q6-block-024,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,materialize-after-q06-predicate,2026-07-19T13:23:35.856898+00:00,264.7392,1000.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
24,tpch-q6-block-024,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,fused,2026-07-19T13:23:36.120898+00:00,237.8836,890.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
25,tpch-q6-block-025,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,fused,2026-07-19T13:23:36.362141+00:00,233.4275,843.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
25,tpch-q6-block-025,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,materialize-after-q06-predicate,2026-07-19T13:23:36.595141+00:00,262.6489,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
25,tpch-q6-block-025,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:36.857838+00:00,763.8425,2828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
26,tpch-q6-block-026,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,materialize-after-q06-predicate,2026-07-19T13:23:37.624824+00:00,256.6557,890.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
26,tpch-q6-block-026,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,materialize-after-q06-time,2026-07-19T13:23:37.881825+00:00,686.209,2343.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
26,tpch-q6-block-026,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,fused,2026-07-19T13:23:38.568104+00:00,293.6661,1046.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
27,tpch-q6-block-027,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,materialize-after-q06-predicate,2026-07-19T13:23:38.865046+00:00,259.2921,1000.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
27,tpch-q6-block-027,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,fused,2026-07-19T13:23:39.124281+00:00,221.6347,765.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
27,tpch-q6-block-027,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:39.346031+00:00,782.4919,2812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
28,tpch-q6-block-028,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,fused,2026-07-19T13:23:40.131627+00:00,231.8411,812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
28,tpch-q6-block-028,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,materialize-after-q06-time,2026-07-19T13:23:40.363743+00:00,622.2973,2328.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
28,tpch-q6-block-028,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:40.985963+00:00,270.8111,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
29,tpch-q6-block-029,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,materialize-after-q06-time,2026-07-19T13:23:41.259560+00:00,520.9591,1953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
29,tpch-q6-block-029,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,fused,2026-07-19T13:23:41.780648+00:00,223.2069,843.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
29,tpch-q6-block-029,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:42.004238+00:00,221.4293,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
