scenario_id,unit_id,policy_selectivity,query_selectivity,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,partial_aggregate_first,2,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,5405.6153,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,governed_fact_first,2,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3423.9831,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,eligible_dimension_first,2,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,4826.7579,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,eligible_dimension_first,3,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,4829.9096,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,governed_fact_first,3,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,3433.8056,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,partial_aggregate_first,3,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,4035.618,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,eligible_dimension_first,4,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,4377.504,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,partial_aggregate_first,4,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,5488.5827,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,governed_fact_first,4,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,4910.7159,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,governed_fact_first,5,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,3524.0277,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
