block_index,block_id,permutation_id,order_position,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
15,bts-multijoin-block-015,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused,3,fused,2026-07-19T06:12:45.822975+00:00,55.2454,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
16,bts-multijoin-block-016,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,0,materialize-after-bts-mj-filter,2026-07-19T06:12:45.885635+00:00,79.7463,203.125,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
16,bts-multijoin-block-016,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,1,fused,2026-07-19T06:12:45.972220+00:00,49.9191,140.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
16,bts-multijoin-block-016,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,2,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:46.028214+00:00,74.5803,250.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
16,bts-multijoin-block-016,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,3,materialize-after-bts-mj-origin-join,2026-07-19T06:12:46.111215+00:00,74.1423,140.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
17,bts-multijoin-block-017,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> fused,0,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:46.198220+00:00,82.0861,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
17,bts-multijoin-block-017,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> fused,1,materialize-after-bts-mj-origin-join,2026-07-19T06:12:46.285981+00:00,64.6396,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
17,bts-multijoin-block-017,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> fused,2,materialize-after-bts-mj-filter,2026-07-19T06:12:46.355976+00:00,69.2232,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
17,bts-multijoin-block-017,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> fused,3,fused,2026-07-19T06:12:46.430975+00:00,58.8178,109.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
18,bts-multijoin-block-018,fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter,0,fused,2026-07-19T06:12:46.496977+00:00,59.1944,171.875,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
18,bts-multijoin-block-018,fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter,1,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:46.562976+00:00,90.4051,234.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
