replicate_id,family_id,row_count,identifier_width,match_rate,seed,early_latency_ms,late_latency_ms,observed_log_early_late_ratio,classification,dominant_relative_difference_role,early_hash_projection_ms,late_hash_projection_ms,hash_projection_delta_ms,hash_projection_relative_delta,early_support_projection_ms,late_support_projection_ms,support_projection_delta_ms,support_projection_relative_delta,early_hash_join_ms,late_hash_join_ms,hash_join_delta_ms,hash_join_relative_delta,early_order_by_ms,late_order_by_ms,order_by_delta_ms,order_by_relative_delta,early_materialization_ms,late_materialization_ms,materialization_delta_ms,materialization_relative_delta,early_event_scan_ms,late_event_scan_ms,event_scan_delta_ms,event_scan_relative_delta,early_dimension_scan_ms,late_dimension_scan_ms,dimension_scan_delta_ms,dimension_scan_relative_delta,early_output_sink_ms,late_output_sink_ms,output_sink_delta_ms,output_sink_relative_delta
20260717T134222171980Z/mask_fragment-n100000-w128-m1000-s1555,n100000-w128-m1000,100000,128,1.0,1555,442.5107999704778,462.20790001098067,-0.043549919022771104,early,hash_projection,375.5358000000001,340.20629999999994,35.329500000000166,0.09407758195090896,0.7868999999999999,2.7502000000000004,-1.9633000000000005,-0.7138753545196713,6.0371999999999995,1.9024999999999996,4.1347,0.6848704697541906,76.27319999999999,68.6957,7.577499999999986,0.09934682168835171,12.994100000000001,0,12.994100000000001,1.0,6.017400000000001,5.585399999999999,0.43200000000000216,0.07179180376907005,0.025100000000000004,0.05660000000000001,-0.03150000000000001,-0.5565371024734983,13.069599999999998,11.968400000000003,1.101199999999995,0.0842565954581621
20260717T134222171980Z/mask_fragment-n100000-w256-m0900-s1111,n100000-w256-m0900,100000,256,0.9,1111,602.6782999979332,573.2182000065222,0.05011710816016828,late,hash_projection,515.7152000000001,678.9843999999998,-163.26919999999973,-0.24046090013260948,0.6224000000000002,4.260100000000001,-3.637700000000001,-0.853900143189127,6.978,1.5556,5.4224,0.7770707939237603,67.82939999999998,61.18259999999999,6.646799999999992,0.09799290573114304,15.4944,0,15.4944,1.0,6.938399999999997,9.538599999999999,-2.600200000000002,-0.27259765584047996,0.0695,0.04510000000000001,0.024399999999999998,0.35107913669064744,15.828999999999999,11.246299999999998,4.582700000000001,0.2895129193252891
20260717T134222171980Z/mask_fragment-n100000-w256-m0900-s1222,n100000-w256-m0900,100000,256,0.9,1222,628.3371999743395,587.6437000115402,0.06695615312641086,late,hash_projection,508.73960000000017,460.1871,48.55250000000018,0.09543684037963658,0.6347,3.6959000000000004,-3.0612000000000004,-0.828269163126708,7.3994,2.8798999999999997,4.519500000000001,0.6107927669811066,62.4481,62.554700000000004,-0.10660000000000736,-0.0017041085641847432,10.6118,0,10.6118,1.0,6.249599999999998,6.868100000000001,-0.6185000000000027,-0.09005401785064321,0.03609999999999999,0.05669999999999999,-0.0206,-0.36331569664903,9.171599999999998,11.966500000000005,-2.7949000000000073,-0.23356035599381658
20260717T134222171980Z/mask_fragment-n100000-w256-m0900-s1333,n100000-w256-m0900,100000,256,0.9,1333,606.3972000265494,562.9049999988638,0.07442434194613015,late,hash_projection,549.5434,455.1216999999999,94.4217000000001,0.17181845874229423,0.7656999999999999,3.0114,-2.2457000000000003,-0.7457328817161454,5.779800000000001,1.3491,4.430700000000001,0.7665836188103395,58.743700000000025,62.562000000000005,-3.8182999999999794,-0.061032256002045635,11.026799999999998,0,11.026799999999998,1.0,8.915099999999999,7.487199999999999,1.4279000000000002,0.16016645915357094,0.04300000000000001,0.035300000000000005,0.0077000000000000055,0.17906976744186054,9.667599999999998,10.002899999999999,-0.33530000000000015,-0.033520279119055495
20260717T134222171980Z/mask_fragment-n100000-w256-m0900-s1444,n100000-w256-m0900,100000,256,0.9,1444,636.4769000210799,564.4229999743402,0.12014415480576429,late,hash_projection,470.79060000000004,686.6983,-215.90769999999998,-0.3144142048990073,0.6112000000000001,3.6888999999999994,-3.077699999999999,-0.8343137520670117,4.9106,2.0738000000000008,2.836799999999999,0.5776890807640612,66.5932,71.84100000000001,-5.247800000000012,-0.07304742417282627,9.637599999999997,0,9.637599999999997,1.0,8.303199999999997,7.4765999999999995,0.8265999999999973,0.0995519799595334,0.0297,0.041999999999999996,-0.012299999999999995,-0.29285714285714276,12.1523,12.4726,-0.3202999999999996,-0.025680291198306657
20260717T134222171980Z/mask_fragment-n100000-w256-m0900-s1555,n100000-w256-m0900,100000,256,0.9,1555,639.2394999857061,699.1055000107735,-0.08952247224490234,early,hash_projection,567.5869,457.73519999999996,109.85170000000005,0.19354164093639237,0.5425,3.3691999999999993,-2.8266999999999993,-0.8389825477858245,7.0124,1.4569,5.5555,0.792239461525298,73.96190000000003,59.49179999999999,14.470100000000038,0.19564262140372315,10.084,0,10.084,1.0,8.7813,8.8786,-0.09730000000000061,-0.01095893496722463,0.053200000000000004,0.0356,0.017600000000000005,0.33082706766917297,11.2474,9.4124,1.8350000000000009,0.16314881661539563
20260717T134222171980Z/mask_fragment-n100000-w256-m1000-s1111,n100000-w256-m1000,100000,256,1.0,1111,626.7233999678865,655.4687999887392,-0.04484540987801293,early,hash_projection,542.5467,569.7142,-27.167500000000018,-0.04768619072510395,0.6820999999999999,3.2848999999999995,-2.6027999999999993,-0.792352887454717,5.7998,2.1698999999999993,3.629900000000001,0.6258664091865238,77.44229999999999,87.14529999999999,-9.703000000000003,-0.1113427803909104,11.210999999999999,0,11.210999999999999,1.0,6.311799999999999,6.8858000000000015,-0.5740000000000025,-0.08335995817479486,0.041299999999999996,0.0324,0.008899999999999998,0.2154963680387409,12.5604,14.6436,-2.0831999999999997,-0.14226009997541586
20260717T134222171980Z/mask_fragment-n100000-w256-m1000-s1222,n100000-w256-m1000,100000,256,1.0,1222,621.8735000002198,636.2467999570072,-0.022849842464963858,tie,hash_projection,553.0956,529.3938,23.701799999999935,0.0428529896097527,0.6224000000000001,3.5242,-2.9017999999999997,-0.8233925429884795,5.4196,2.4945000000000004,2.9250999999999996,0.5397261790538046,72.92200000000001,77.2973,-4.375299999999996,-0.056603529489387024,12.127799999999999,0,12.127799999999999,1.0,6.638399999999998,7.5965,-0.9581000000000017,-0.1261238728361748,0.021799999999999996,0.0415,-0.019700000000000006,-0.474698795180723,11.698,12.0481,-0.3500999999999994,-0.029058523750632833
20260717T134222171980Z/mask_fragment-n100000-w256-m1000-s1333,n100000-w256-m1000,100000,256,1.0,1333,772.2420000354759,743.733000010252,0.03761587298184114,late,hash_projection,637.3195999999999,686.5915000000001,-49.27190000000019,-0.07176304979015934,0.8602,4.194399999999999,-3.334199999999999,-0.7949170322334541,9.354600000000001,1.8808,7.4738000000000016,0.7989438351185514,99.79380000000002,86.32969999999999,13.46410000000003,0.13491920339740573,10.602500000000001,0,10.602500000000001,1.0,7.1748,8.491399999999999,-1.3165999999999984,-0.15505099276915452,0.06820000000000001,0.036000000000000004,0.032200000000000006,0.47214076246334313,14.214100000000002,15.1658,-0.9516999999999989,-0.06275303643724689
20260717T134222171980Z/mask_fragment-n100000-w256-m1000-s1444,n100000-w256-m1000,100000,256,1.0,1444,643.4798000263982,624.3565999902785,0.03016895626956751,tie,hash_projection,533.7342999999998,504.4027,29.331599999999867,0.054955433817912534,0.7154,2.7762,-2.0607999999999995,-0.7423096318709026,5.8144,1.7875000000000003,4.0268999999999995,0.6925736103467253,79.37080000000002,81.28359999999999,-1.9127999999999759,-0.023532422284445766,10.778400000000001,0,10.778400000000001,1.0,6.985199999999997,6.285299999999999,0.6998999999999977,0.10019756055660511,0.03669999999999999,0.057300000000000004,-0.020600000000000014,-0.35951134380453775,12.728799999999998,12.8172,-0.08840000000000181,-0.006896982180195504
20260717T134222171980Z/mask_fragment-n100000-w256-m1000-s1555,n100000-w256-m1000,100000,256,1.0,1555,618.8675999874249,589.3885000259615,0.04880579761961129,late,hash_projection,648.4960999999998,501.3351999999999,147.16089999999997,0.22692642253361278,0.8007,3.586,-2.7853,-0.7767150027886224,8.591800000000001,1.8114000000000001,6.780400000000001,0.7891710700900859,84.76359999999997,69.05590000000001,15.70769999999996,0.1853118555606412,13.869900000000001,0,13.869900000000001,1.0,8.3791,6.6000999999999985,1.7790000000000008,0.21231397166760166,0.04549999999999999,0.06489999999999997,-0.01939999999999998,-0.2989214175654852,17.589900000000004,11.8145,5.775400000000003,0.3283361474482517
20260717T134222171980Z/mask_fragment-n100000-w512-m0900-s1111,n100000-w512-m0900,100000,512,0.9,1111,967.5583999487571,844.2857000045478,0.13628484035664093,late,hash_projection,1093.1848,703.0093999999998,390.1754000000002,0.3569162322783853,0.8985000000000001,3.3954000000000004,-2.4969,-0.73537727513695,7.1183000000000005,2.1482,4.9701,0.6982144613180113,89.85199999999999,60.58419999999999,29.2678,0.3257334283043227,17.729400000000002,0,17.729400000000002,1.0,8.522100000000002,8.593899999999998,-0.07179999999999609,-0.008354763262313514,0.027800000000000002,0.0453,-0.017499999999999998,-0.38631346578366443,17.165799999999994,11.029799999999998,6.135999999999996,0.35745493947267226
20260717T134222171980Z/mask_fragment-n100000-w512-m0900-s1222,n100000-w512-m0900,100000,512,0.9,1222,965.621099981945,877.879700041376,0.0952619528749289,late,hash_projection,862.8473999999997,715.8334000000001,147.01399999999956,0.1703823874302682,0.7792999999999999,3.1004,-2.3211000000000004,-0.7486453360856665,6.9515,1.3816999999999995,5.569800000000001,0.8012371430626485,72.6986,61.8013,10.897300000000001,0.14989697188116416,12.8565,0,12.8565,1.0,8.375600000000004,8.309300000000004,0.06630000000000003,0.007915850804718468,0.030300000000000004,0.0353,-0.004999999999999994,-0.14164305949008482,11.900400000000001,10.693799999999998,1.2066000000000034,0.1013915498638704
20260717T134222171980Z/mask_fragment-n100000-w512-m0900-s1333,n100000-w512-m0900,100000,512,0.9,1333,958.0338000087067,857.8535999986343,0.11044960363782641,late,hash_projection,871.0503000000002,690.4408999999999,180.60940000000028,0.20734669398541075,0.5993,3.0116000000000005,-2.4123000000000006,-0.8010027892150352,7.010999999999999,1.445,5.565999999999999,0.7938953073741263,66.65360000000001,57.56600000000001,9.087600000000002,0.1363407227816652,9.7209,0,9.7209,1.0,6.3911,7.942600000000001,-1.5515000000000017,-0.1953390577392795,0.062499999999999986,0.034,0.028499999999999984,0.45599999999999985,10.2817,9.851000000000003,0.4306999999999981,0.04188995983154518
20260717T134222171980Z/mask_fragment-n100000-w512-m0900-s1444,n100000-w512-m0900,100000,512,0.9,1444,956.0977999935858,889.6647000219673,0.07201555887459837,late,hash_projection,849.9108999999999,790.6925999999999,59.2183,0.06967589190819885,0.7554,3.1353999999999993,-2.3799999999999994,-0.7590738023856605,7.735699999999999,1.5758,6.159899999999999,0.7962950993445971,72.9813,66.3871,6.594200000000001,0.09035465249317291,11.573399999999998,0,11.573399999999998,1.0,7.205700000000001,10.307100000000002,-3.101400000000001,-0.30089938003900224,0.0389,0.032799999999999996,0.006100000000000001,0.1568123393316196,12.5781,10.2925,2.2855999999999987,0.18171265930466438
20260717T134222171980Z/mask_fragment-n100000-w512-m0900-s1555,n100000-w512-m0900,100000,512,0.9,1555,961.1488999798894,841.8878000229597,0.1324825884812233,late,hash_projection,919.666,862.5916,57.07440000000008,0.062059921754202156,0.8044,3.392499999999999,-2.588099999999999,-0.7628887251289608,6.655399999999998,1.6379,5.017499999999998,0.7538990894611893,94.6971,60.314499999999995,34.38260000000001,0.36307975640225526,12.023499999999997,0,12.023499999999997,1.0,7.5584,8.274400000000002,-0.716000000000002,-0.08653195397853643,0.03429999999999999,0.0421,-0.007800000000000008,-0.1852731591448933,14.8831,10.5581,4.325000000000001,0.2905980608878527
20260717T134222171980Z/mask_fragment-n100000-w512-m1000-s1111,n100000-w512-m1000,100000,512,1.0,1111,961.0252000275068,925.9961000061594,0.03713060835891463,late,materialization,831.7855,822.6211000000001,9.164399999999887,0.011017744358371103,0.8235,2.8846,-2.0610999999999997,-0.7145184774318796,9.3151,1.6094000000000002,7.705699999999999,0.8272267608506618,79.5768,70.9632,8.613600000000005,0.10824260337183708,11.654899999999998,0,11.654899999999998,1.0,7.4288000000000025,6.8196999999999965,0.609100000000006,0.08199170794744855,0.1272,0.029500000000000002,0.09770000000000001,0.7680817610062893,12.9262,10.8708,2.0554000000000006,0.15901038201482265
