commit_hash,identifier_width,latency_ms,match_rate,matched_rows,order_position,physical_plan_fingerprint,region_label,repeat_index,result_digest,row_count,run_id,scenario_id,seed,variant
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,219.67229997972026,0.9,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,13,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,247.27619998157024,0.9,90000,1,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,13,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,231.71319998800755,0.9,90000,2,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,13,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,173.48490003496408,0.9,90000,3,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,13,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,269.7833999991417,0.9,90000,0,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,14,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,295.2435999759473,0.9,90000,1,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,14,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,133.95749998744577,0.9,90000,2,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,14,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,311.85560004087165,0.9,90000,3,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,14,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,316.77019997732714,0.9,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,0,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,324.70649998867884,0.9,90000,1,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,0,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,263.46109999576584,0.9,90000,2,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,0,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,272.75669999653473,0.9,90000,3,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,0,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,308.39279998326674,0.9,90000,0,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,1,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,321.4131999993697,0.9,90000,1,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,1,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,237.8925000084564,0.9,90000,2,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,1,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,254.35820000711828,0.9,90000,3,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,1,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,284.14070000872016,0.9,90000,0,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,2,sha256:d1d6aabbcc0b3ec241b046e28571917952e9b44585c4ea148bd8524197a615e3,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1888,1888,late_fused
