unit_id,workload,sample_rows,repeat_index,measurement_block_id,permutation_id,order_position,strategy_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
bts-full-2024-01,bts,547271,17,bts-full-2024-01-block-017,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,1,materialize-after-gov-002-mask,2026-07-19T05:22:24.152192+00:00,656.2851,718.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,17,bts-full-2024-01-block-017,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,2,fused,2026-07-19T05:22:25.646061+00:00,745.608,796.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,18,bts-full-2024-01-block-018,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,0,materialize-after-gov-002-mask,2026-07-19T05:22:27.341976+00:00,584.4233,703.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,18,bts-full-2024-01-block-018,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,1,fused,2026-07-19T05:22:28.735460+00:00,568.4076,687.5,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,18,bts-full-2024-01-block-018,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:22:30.240265+00:00,744.0729,859.375,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,19,bts-full-2024-01-block-019,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,0,materialize-after-bts-filter,2026-07-19T05:22:31.800829+00:00,675.776,796.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,19,bts-full-2024-01-block-019,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,1,materialize-after-gov-002-mask,2026-07-19T05:22:33.227445+00:00,631.6545,687.5,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,19,bts-full-2024-01-block-019,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,2,fused,2026-07-19T05:22:34.782282+00:00,628.8537,718.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,20,bts-full-2024-01-block-020,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,0,fused,2026-07-19T05:22:36.269251+00:00,643.5011,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,20,bts-full-2024-01-block-020,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,1,materialize-after-gov-002-mask,2026-07-19T05:22:37.839262+00:00,615.0797,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
